StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q11,Q12,Q12_4_TEXT,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q13_12,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q15,Q15_8_TEXT,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q17,Q18
2021-11-09 16:31:30,2021-11-09 16:34:03,IP Address,143.55.59.88,100,153,True,2021-11-09 16:34:03,R_2Ecy1lyxQQQHhuy,,,,,32.9073944091796875,-97.53220367431640625,anonymous,EN,24 and Under,Male,High school graduate or equivalent (GED),Below 50k,Employed full-time,Neither,Yes,No,No,2 - Slightly familiar,2 - Slightly familiar,1- Not familiar at all,Pokemon Go,,,7 - Most Effective,Effective,Effective,Moderately effective,Moderately effective,Moderately effective,Effective,Effective,Effective,Effective,Effective,Effective,1 - Not frequent at all,Frequent,Frequent,Frequent,Frequent,1 - Not frequent at all,1 - Not frequent at all,"Twitter,Google Search",,Prefer a great deal,Prefer a lot,Do not prefer,Do not prefer,Do not prefer,Prefer a moderate amount,Yes,5ff5469c3986ccce682ce555
2021-11-09 16:36:33,2021-11-09 16:39:47,IP Address,172.58.224.157,100,194,True,2021-11-09 16:39:48,R_2QGqIcG9Ie3GqII,,,,,40.700897216796875,-73.94609832763671875,anonymous,EN,31-40,Male,High school graduate or equivalent (GED),Below 50k,Employed full-time,Neither,No,No,Yes,4 - Moderately familiar,4 - Moderately familiar,4 - Moderately familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",,,1 - Not effective at all,1 - Not effective at all,Very Effective,Very Effective,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,Very frequent,1 - Not frequent at all,1 - Not frequent at all,"Google Search,YouTube",,Prefer slightly,Prefer a lot,Do not prefer,Prefer a moderate amount,Do not prefer,Prefer slightly,Yes,5f515eb2bf6cde399abbc6c2
2021-11-09 16:39:50,2021-11-09 16:41:31,IP Address,107.200.221.143,100,101,True,2021-11-09 16:41:32,R_3oQOtdBI8G7T9di,,,,,33.8625030517578125,-117.58599853515625,anonymous,EN,25-30,Female,Associate degree or equivalent,Below 50k,Employed full-time,White collar,No,No,Yes,5 - Familiar,5 - Familiar,4 - Moderately familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Virtual Reality,,Slightly effective,Very Effective,Very Effective,Extremely effective,Extremely effective,Very Effective,Slightly effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Extremely effective,Slightly frequent,Extremely frequent,Frequent,Very frequent,Extremely frequent,Extremely frequent,Very frequent,"Facebook / Instagram,Google Search,YouTube,Blog (e.g., Medium)",,Prefer a lot,Prefer a lot,Prefer a moderate amount,Prefer slightly,Prefer a lot,Prefer a lot,Yes,614e5bbd5317d373d563bb3b
2021-11-09 16:47:32,2021-11-09 16:49:24,IP Address,107.77.213.233,100,111,True,2021-11-09 16:49:24,R_wYtEZE5RmHlCgyR,,,,,37.7220001220703125,-122.16429901123046875,anonymous,EN,24 and Under,Male,High school graduate or equivalent (GED),More than $250K,Retired,Both,No,No,No,5 - Familiar,4 - Moderately familiar,2 - Slightly familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go",,,Very Effective,Very Effective,Effective,Effective,Moderately effective,Effective,Very Effective,Slightly effective,Moderately effective,Effective,Moderately effective,Effective,Very frequent,Very frequent,Moderately frequent,Moderately frequent,Moderately frequent,Slightly frequent,Slightly frequent,"LinkedIn,Facebook / Instagram,Twitter,Google Search,YouTube",,Prefer a moderate amount,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer slightly,Prefer a moderate amount,Yes,6110cb9fd3ba23cecacc8fc4
2021-11-09 16:58:32,2021-11-09 17:06:07,IP Address,168.245.167.27,100,454,True,2021-11-09 17:06:07,R_3j80zgxBmqPjdaK,,,,,36.1732025146484375,-85.4535980224609375,anonymous,EN,41-56,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,No,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,,Virtual Reality,,1 - Not effective at all,Slightly effective,Very Effective,Very Effective,Very Effective,Very Effective,Moderately effective,1 - Not effective at all,Very Effective,Effective,Very Effective,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,Frequent,1 - Not frequent at all,Slightly frequent,Frequent,"Twitter,Google Search,YouTube,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a great deal,Prefer a moderate amount,Prefer slightly,Prefer a moderate amount,Do not prefer,Prefer a moderate amount,No,
2021-11-09 17:11:13,2021-11-09 17:13:30,IP Address,98.5.221.218,100,137,True,2021-11-09 17:13:31,R_W71ZVwqsyP1vXSV,,,,,43.050506591796875,-78.852996826171875,anonymous,EN,31-40,Male,Bachelor’s degree or equivalent,Below 50k,Employed full-time,Blue collar,Yes,No,No,7 - Extremely familiar,7 - Extremely familiar,7 - Extremely familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Smartphone VR","Virtual Reality,Augmented Reality,Mixed Reality",,1 - Not effective at all,1 - Not effective at all,Moderately effective,Effective,Very Effective,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Google Search,,Prefer a great deal,Prefer a moderate amount,Do not prefer,Do not prefer,Do not prefer,Do not prefer,No,
2021-11-09 17:21:11,2021-11-09 17:24:44,IP Address,141.126.136.119,100,212,True,2021-11-09 17:24:44,R_1ghJWmEJhYP5ORf,,,,,43.1204986572265625,-89.35230255126953125,anonymous,EN,31-40,Female,High school graduate or equivalent (GED),Below 50k,Employed full-time,White collar,No,No,Yes,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,,,,1 - Not effective at all,Effective,7 - Most Effective,1 - Not effective at all,Very Effective,1 - Not effective at all,Extremely effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,1 - Not frequent at all,1 - Not frequent at all,Moderately frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Do not prefer,Do not prefer,Prefer a great deal,Do not prefer,Prefer a great deal,No,
2021-11-09 17:24:16,2021-11-09 17:27:14,IP Address,174.213.145.161,100,178,True,2021-11-09 17:27:15,R_2YV66aTfA64hGeT,,,,,44.9833984375,-93.26219940185546875,anonymous,EN,25-30,Male,,Below 50k,Unemployed,Neither,No,No,No,5 - Familiar,5 - Familiar,3 - Somewhat familiar,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Smartphone VR",,,1 - Not effective at all,1 - Not effective at all,Effective,1 - Not effective at all,Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,Moderately effective,Effective,Effective,Moderately effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,,,Prefer slightly,Do not prefer,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer slightly,Yes,5fd3bb7cad1b7308da425651
2021-11-09 17:32:53,2021-11-09 17:35:47,IP Address,107.77.233.127,100,173,True,2021-11-09 17:35:47,R_1KfJxeHxYEkndzK,,,,,33.748504638671875,-84.3871002197265625,anonymous,EN,31-40,Male,Graduate degree or higher,$50k - $100k,Employed full-time,Blue collar,No,No,No,5 - Familiar,6 - Very familiar,3 - Somewhat familiar,Pokemon Go,,,Slightly effective,1 - Not effective at all,Extremely effective,Effective,Slightly effective,1 - Not effective at all,Effective,Slightly effective,Slightly effective,Slightly effective,Slightly effective,Very Effective,Moderately frequent,Frequent,Moderately frequent,7 - Most frequent,Very frequent,1 - Not frequent at all,1 - Not frequent at all,"Facebook / Instagram,Google Search",,Prefer a moderate amount,Prefer a moderate amount,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot,Yes,5f6a156d788726064e1bffdc
2021-11-09 17:53:09,2021-11-09 17:55:46,IP Address,174.248.45.38,100,156,True,2021-11-09 17:55:46,R_1JF1hV1YsgXZBqQ,,,,,35.6884002685546875,-84.07689666748046875,anonymous,EN,25-30,Female,High school graduate or equivalent (GED),$50k - $100k,Employed part-time,White collar,No,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Smartphone VR",,,Very Effective,Effective,Slightly effective,Moderately effective,Moderately effective,Slightly effective,Moderately effective,Slightly effective,Slightly effective,Moderately effective,Moderately effective,Slightly effective,Slightly frequent,Moderately frequent,1 - Not frequent at all,Extremely frequent,Moderately frequent,Slightly frequent,Slightly frequent,LinkedIn,,Prefer slightly,Prefer a lot,Prefer slightly,Prefer a moderate amount,Prefer slightly,Prefer slightly,Yes,610045ee595072828fa1cd16
2021-11-09 18:02:40,2021-11-09 18:04:59,IP Address,129.137.96.9,100,139,True,2021-11-09 18:04:59,R_1gdNLf6IDbLMZdA,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,24 and Under,Male,High school graduate or equivalent (GED),$50k - $100k,Employed part-time,Blue collar,No,No,No,7 - Extremely familiar,5 - Familiar,3 - Somewhat familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR","Virtual Reality,Augmented Reality",,Slightly effective,Effective,7 - Most Effective,Very Effective,Slightly effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Moderately effective,Effective,1 - Not frequent at all,Frequent,Slightly frequent,7 - Most frequent,Extremely frequent,Slightly frequent,Frequent,"LinkedIn,Facebook / Instagram,Twitter,Google Search,YouTube",,Prefer a lot,Prefer a great deal,Do not prefer,Prefer slightly,Do not prefer,Prefer slightly,Yes,6155eab518a6794cdb20a769
2021-11-09 18:21:46,2021-11-09 18:24:34,IP Address,74.141.198.193,100,167,True,2021-11-09 18:24:35,R_1oI26gRkGFjUHSr,,,,,39.07049560546875,-84.51599884033203125,anonymous,EN,25-30,Female,Graduate degree or higher,$50k - $100k,Employed full-time,White collar,No,No,No,3 - Somewhat familiar,2 - Slightly familiar,2 - Slightly familiar,Pokemon Go,Augmented Reality,,Moderately effective,1 - Not effective at all,Very Effective,Effective,Moderately effective,Very Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,,,Prefer a lot,Prefer a great deal,Do not prefer,Do not prefer,Do not prefer,Do not prefer,Yes,60b6785922e3369786f43c04
2021-11-09 18:22:17,2021-11-09 18:24:43,IP Address,172.221.78.163,100,145,True,2021-11-09 18:24:43,R_2PBAMY24TjxPRiT,,,,,45.66839599609375,-111.2422027587890625,anonymous,EN,24 and Under,Male,Bachelor’s degree or equivalent,Below 50k,Employed full-time,White collar,No,No,No,3 - Somewhat familiar,1- Not familiar at all,1- Not familiar at all,Pokemon Go,,,1 - Not effective at all,Very Effective,Very Effective,Very Effective,Effective,Effective,Effective,Very Effective,Moderately effective,Very Effective,Effective,Effective,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,Very frequent,Moderately frequent,1 - Not frequent at all,Very frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a lot,Prefer slightly,Prefer a moderate amount,Prefer slightly,Prefer a lot,Yes,5f4a83f00e64150553fe58e9
2021-11-09 18:27:02,2021-11-09 18:29:05,IP Address,172.58.155.184,100,123,True,2021-11-09 18:29:06,R_4TUIXtNc8wfa0MN,,,,,34.000701904296875,-81.03479766845703125,anonymous,EN,24 and Under,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed part-time,Blue collar,No,No,No,2 - Slightly familiar,2 - Slightly familiar,1- Not familiar at all,"Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",,,Very Effective,Moderately effective,Very Effective,Very Effective,Slightly effective,7 - Most Effective,Very Effective,Effective,Slightly effective,7 - Most Effective,7 - Most Effective,Effective,Very frequent,1 - Not frequent at all,1 - Not frequent at all,Frequent,Moderately frequent,1 - Not frequent at all,Moderately frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a great deal,Prefer slightly,Prefer slightly,Do not prefer,Prefer slightly,Yes,60fdda6e481b5fb2a63b5e82
