Progress,Duration (in seconds),Finished,Age_Range,Gender,Degree,Income,Employment,Job_Type,Industry_Manufacturing,Industry_Automobile,Industry_Construction,Technology_VR,Technology_AR,Technology_MR,Used,Use_Cases,Use_Cases_Other,Effective_Channel_LinkedIn,Effective_Channel_FB_IG,Effective_Channel_Google,Effective_Channel_YouTube,Effective_Channel_Trade_Show,Effective_Channel_Webinar,Effective_Channel_Phone_Email,Effective_Channel_Billboard,Effective_Channel_Magazine,Effective_Channel_Television,Effective_Channel_Radio,Effective_Channel_Website,Frequent_Channel_LinkedIn,Frequent_Channel__FB_IG,Frequent_Channel_Twitter,Frequent_Channel_Google,Frequent_Channel_YouTube,Frequent_Channel_Blogs,Frequent_Channel_Press,Previous_Channel,Previous_Channel_Other,Acquisition_Channel_Website,Acquisition_Channel_Online,Acquisition_Channel_Cloud_Marketplace,Acquisition_Channel_Distributor,Acquisition_Channel_SI_Consultant,Acquisition_Channel_Retail
100,101,True,25-30,Female,Associate degree or equivalent,< $50k,Employed full-time,White collar,No,No,Yes,5 - Familiar,5 - Familiar,4 - Moderately familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Virtual Reality,,Slightly effective,Very Effective,Very Effective,Extremely effective,Extremely effective,Very Effective,Slightly effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Extremely effective,Slightly frequent,Extremely frequent,Frequent,Very frequent,Extremely frequent,Extremely frequent,Very frequent,"Facebook / Instagram,Google Search,YouTube,Blog (e.g., Medium)",,Prefer a lot,Prefer a lot,Prefer a moderate amount,Prefer slightly,Prefer a lot,Prefer a lot
100,111,True,< 24,Male,High school graduate or equivalent (GED),> $250k,Retired,Both,No,No,No,5 - Familiar,4 - Moderately familiar,2 - Slightly familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go",,,Very Effective,Very Effective,Effective,Effective,Moderately effective,Effective,Very Effective,Slightly effective,Moderately effective,Effective,Moderately effective,Effective,Very frequent,Very frequent,Moderately frequent,Moderately frequent,Moderately frequent,Slightly frequent,Slightly frequent,"LinkedIn,Facebook / Instagram,Twitter,Google Search,YouTube",,Prefer a moderate amount,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer slightly,Prefer a moderate amount
100,454,True,41-56,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,No,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,,Virtual Reality,,1 - Not effective at all,Slightly effective,Very Effective,Very Effective,Very Effective,Very Effective,Moderately effective,1 - Not effective at all,Very Effective,Effective,Very Effective,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,Slightly frequent,Frequent,1 - Not frequent at all,Slightly frequent,Frequent,"Twitter,Google Search,YouTube,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a great deal,Prefer a moderate amount,Prefer slightly,Prefer a moderate amount,Do not prefer,Prefer a moderate amount
100,137,True,31-40,Male,Bachelor’s degree or equivalent,< $50k,Employed full-time,Blue collar,Yes,No,No,7 - Extremely familiar,7 - Extremely familiar,7 - Extremely familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Smartphone VR","Virtual Reality,Augmented Reality,Mixed Reality",,1 - Not effective at all,1 - Not effective at all,Moderately effective,Effective,Very Effective,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Google Search,,Prefer a great deal,Prefer a moderate amount,Do not prefer,Do not prefer,Do not prefer,Do not prefer
100,212,True,31-40,Female,High school graduate or equivalent (GED),< $50k,Employed full-time,White collar,No,No,Yes,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,,,,1 - Not effective at all,Effective,7 - Most Effective,1 - Not effective at all,Very Effective,1 - Not effective at all,Extremely effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,1 - Not frequent at all,1 - Not frequent at all,Moderately frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Do not prefer,Do not prefer,Prefer a great deal,Do not prefer,Prefer a great deal
100,173,True,31-40,Male,Graduate degree or higher,$50k - $100k,Employed full-time,Blue collar,No,No,No,5 - Familiar,6 - Very familiar,3 - Somewhat familiar,Pokemon Go,,,Slightly effective,1 - Not effective at all,Extremely effective,Effective,Slightly effective,1 - Not effective at all,Effective,Slightly effective,Slightly effective,Slightly effective,Slightly effective,Very Effective,Moderately frequent,Frequent,Moderately frequent,7 - Most frequent,Very frequent,1 - Not frequent at all,1 - Not frequent at all,"Facebook / Instagram,Google Search",,Prefer a moderate amount,Prefer a moderate amount,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot
100,156,True,25-30,Female,High school graduate or equivalent (GED),$50k - $100k,Employed part-time,White collar,No,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Smartphone VR",,,Very Effective,Effective,Slightly effective,Moderately effective,Moderately effective,Slightly effective,Moderately effective,Slightly effective,Slightly effective,Moderately effective,Moderately effective,Slightly effective,Slightly frequent,Moderately frequent,1 - Not frequent at all,Extremely frequent,Moderately frequent,Slightly frequent,Slightly frequent,LinkedIn,,Prefer slightly,Prefer a lot,Prefer slightly,Prefer a moderate amount,Prefer slightly,Prefer slightly
100,139,True,< 24,Male,High school graduate or equivalent (GED),$50k - $100k,Employed part-time,Blue collar,No,No,No,7 - Extremely familiar,5 - Familiar,3 - Somewhat familiar,"AR / VR Glasses (e.g., HoloLens, Google Glass, Snap Spectacles),Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro),Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR","Virtual Reality,Augmented Reality",,Slightly effective,Effective,7 - Most Effective,Very Effective,Slightly effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Moderately effective,Effective,1 - Not frequent at all,Frequent,Slightly frequent,7 - Most frequent,Extremely frequent,Slightly frequent,Frequent,"LinkedIn,Facebook / Instagram,Twitter,Google Search,YouTube",,Prefer a lot,Prefer a great deal,Do not prefer,Prefer slightly,Do not prefer,Prefer slightly
100,167,True,25-30,Female,Graduate degree or higher,$50k - $100k,Employed full-time,White collar,No,No,No,3 - Somewhat familiar,2 - Slightly familiar,2 - Slightly familiar,Pokemon Go,Augmented Reality,,Moderately effective,1 - Not effective at all,Very Effective,Effective,Moderately effective,Very Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,,,Prefer a lot,Prefer a great deal,Do not prefer,Do not prefer,Do not prefer,Do not prefer
100,145,True,< 24,Male,Bachelor’s degree or equivalent,< $50k,Employed full-time,White collar,No,No,No,3 - Somewhat familiar,1- Not familiar at all,1- Not familiar at all,Pokemon Go,,,1 - Not effective at all,Very Effective,Very Effective,Very Effective,Effective,Effective,Effective,Very Effective,Moderately effective,Very Effective,Effective,Effective,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,Very frequent,Moderately frequent,1 - Not frequent at all,Very frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a lot,Prefer slightly,Prefer a moderate amount,Prefer slightly,Prefer a lot
100,123,True,< 24,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed part-time,Blue collar,No,No,No,2 - Slightly familiar,2 - Slightly familiar,1- Not familiar at all,"Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go),Smartphone VR",,,Very Effective,Moderately effective,Very Effective,Very Effective,Slightly effective,7 - Most Effective,Very Effective,Effective,Slightly effective,7 - Most Effective,7 - Most Effective,Effective,Very frequent,1 - Not frequent at all,1 - Not frequent at all,Frequent,Moderately frequent,1 - Not frequent at all,Moderately frequent,"Google Search,Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer a lot,Prefer a great deal,Prefer slightly,Prefer slightly,Do not prefer,Prefer slightly
100,178,True,25-30,Female,Associate degree or equivalent,$50k - $100k,Employed part-time,Blue collar,No,No,No,5 - Familiar,2 - Slightly familiar,2 - Slightly familiar,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",Virtual Reality,,1 - Not effective at all,1 - Not effective at all,Effective,Effective,Moderately effective,Effective,Slightly effective,Slightly effective,1 - Not effective at all,Slightly effective,1 - Not effective at all,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Extremely frequent,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,,,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot,Prefer slightly,Prefer slightly
100,98,True,25-30,Female,Graduate degree or higher,$50k - $100k,Employed full-time,White collar,No,No,No,2 - Slightly familiar,2 - Slightly familiar,1- Not familiar at all,Pokemon Go,Virtual Reality,,Very Effective,Moderately effective,7 - Most Effective,Effective,Effective,Moderately effective,Very Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Very Effective,Extremely frequent,7 - Most frequent,Extremely frequent,7 - Most frequent,Frequent,Frequent,Frequent,"LinkedIn,Google Search",,Prefer a lot,Prefer slightly,Prefer slightly,Prefer slightly,Prefer slightly,Prefer a great deal
100,212,True,25-30,Male,Associate degree or equivalent,$50k - $100k,Employed full-time,Blue collar,No,No,Yes,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,"Pokemon Go,Tethered VR (e.g., Oculus Rift, HTC VIVE Pro)",,,Moderately effective,Effective,Very Effective,Slightly effective,Slightly effective,1 - Not effective at all,Moderately effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Moderately frequent,Slightly frequent,1 - Not frequent at all,Slightly frequent,"LinkedIn,Facebook / Instagram,Google Search",,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount
100,219,True,< 24,Male,Bachelor’s degree or equivalent,$50k - $100k,Unemployed,Both,No,No,No,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,,Virtual Reality,,Very Effective,Moderately effective,Effective,Effective,1 - Not effective at all,Effective,Moderately effective,Slightly effective,Slightly effective,Slightly effective,Moderately effective,Effective,Slightly frequent,Slightly frequent,Slightly frequent,7 - Most frequent,7 - Most frequent,Moderately frequent,1 - Not frequent at all,"Google Search,YouTube",,Prefer a moderate amount,Prefer a great deal,Prefer slightly,Prefer slightly,Do not prefer,Prefer slightly
100,119,True,25-30,Female,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,No,No,Yes,5 - Familiar,5 - Familiar,3 - Somewhat familiar,Pokemon Go,"Virtual Reality,Augmented Reality",,Extremely effective,Slightly effective,7 - Most Effective,Moderately effective,7 - Most Effective,7 - Most Effective,7 - Most Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,Very frequent,1 - Not frequent at all,1 - Not frequent at all,Very frequent,Slightly frequent,Very frequent,7 - Most frequent,"LinkedIn,Google Search",,Prefer slightly,Prefer slightly,Prefer a great deal,Prefer a great deal,Prefer a moderate amount,Prefer slightly
100,142,True,31-40,Male,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,Yes,No,No,4 - Moderately familiar,4 - Moderately familiar,4 - Moderately familiar,"Standalone VR (e.g., Pico Neo, VIVE Focus, Oculus Go)",Mixed Reality,,Moderately effective,1 - Not effective at all,Moderately effective,Slightly effective,Moderately effective,Effective,Very Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,Very frequent,Slightly frequent,1 - Not frequent at all,Slightly frequent,Google Search,,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer a moderate amount,Do not prefer,Prefer slightly
100,304,True,25-30,Female,High school graduate or equivalent (GED),< $50k,Employed full-time,White collar,No,Yes,No,4 - Moderately familiar,3 - Somewhat familiar,1- Not familiar at all,Pokemon Go,,,Slightly effective,1 - Not effective at all,Extremely effective,Effective,Slightly effective,Moderately effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,Moderately effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Google Search,,Prefer a lot,Prefer slightly,Do not prefer,Prefer slightly,Prefer slightly,Prefer a great deal
100,419,True,31-40,Female,Associate degree or equivalent,< $50k,Employed full-time,Both,No,No,Yes,4 - Moderately familiar,2 - Slightly familiar,1- Not familiar at all,,,,Moderately effective,Extremely effective,7 - Most Effective,Effective,Slightly effective,Slightly effective,Effective,Extremely effective,Effective,Extremely effective,Extremely effective,Very Effective,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,7 - Most frequent,Slightly frequent,Slightly frequent,Moderately frequent,"Facebook / Instagram,Google Search",,Prefer a moderate amount,Prefer a great deal,Prefer a moderate amount,Prefer slightly,Do not prefer,Prefer a moderate amount
100,193,True,31-40,Male,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,Blue collar,Yes,No,No,5 - Familiar,5 - Familiar,4 - Moderately familiar,,,,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,,,Prefer slightly,Prefer slightly,Do not prefer,Prefer a lot,Do not prefer,Prefer slightly
100,136,True,25-30,Female,High school graduate or equivalent (GED),$50k - $100k,Employed full-time,Blue collar,Yes,No,Yes,5 - Familiar,5 - Familiar,5 - Familiar,,,,Very Effective,Very Effective,Very Effective,Very Effective,Moderately effective,Moderately effective,Very Effective,Moderately effective,Moderately effective,Moderately effective,Moderately effective,Very Effective,Very frequent,Moderately frequent,Moderately frequent,Very frequent,Very frequent,Moderately frequent,Moderately frequent,"LinkedIn,Facebook / Instagram,Google Search,YouTube",,Prefer a lot,Prefer a lot,Prefer slightly,Prefer a lot,Prefer slightly,Prefer slightly
100,206,True,25-30,Male,High school graduate or equivalent (GED),$50k - $100k,Unemployed,Blue collar,No,No,Yes,1- Not familiar at all,1- Not familiar at all,1- Not familiar at all,Pokemon Go,,,1 - Not effective at all,1 - Not effective at all,Moderately effective,Slightly effective,Slightly effective,1 - Not effective at all,Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Slightly effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Very frequent,Very frequent,Slightly frequent,1 - Not frequent at all,"Google Search,YouTube",,Prefer slightly,Prefer a moderate amount,Prefer a moderate amount,Prefer a lot,Prefer a moderate amount,Prefer a lot
100,202,True,25-30,Female,Bachelor’s degree or equivalent,$50k - $100k,Employed full-time,White collar,Yes,No,No,4 - Moderately familiar,2 - Slightly familiar,2 - Slightly familiar,Pokemon Go,"Virtual Reality,Augmented Reality,Mixed Reality",,Very Effective,1 - Not effective at all,Very Effective,Very Effective,7 - Most Effective,7 - Most Effective,Moderately effective,1 - Not effective at all,1 - Not effective at all,Effective,Effective,Extremely effective,Slightly frequent,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,Moderately frequent,Very frequent,Extremely frequent,"LinkedIn,Google Search,Blog (e.g., Medium),Press / Online Newspaper (e.g. TechCrunch, Forbes)",,Prefer slightly,Do not prefer,Do not prefer,Do not prefer,Prefer a great deal,Do not prefer
100,297,True,57-66,Male,Graduate degree or higher,$151k - $200k,Employed part-time,White collar,No,No,No,5 - Familiar,1- Not familiar at all,1- Not familiar at all,,,,Slightly effective,Slightly effective,Effective,Slightly effective,Moderately effective,Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,Frequent,Slightly frequent,1 - Not frequent at all,Slightly frequent,Google Search,,Prefer a lot,Prefer a lot,Prefer slightly,Do not prefer,Do not prefer,Prefer slightly
100,148,True,31-40,Male,Bachelor’s degree or equivalent,$101k - 150k,Employed full-time,White collar,Yes,No,No,5 - Familiar,2 - Slightly familiar,1- Not familiar at all,Smartphone VR,,,Extremely effective,Slightly effective,Effective,Moderately effective,Moderately effective,Effective,Moderately effective,Slightly effective,1 - Not effective at all,Slightly effective,Slightly effective,Effective,Moderately frequent,Slightly frequent,1 - Not frequent at all,Frequent,Moderately frequent,Frequent,Moderately frequent,"LinkedIn,Google Search,YouTube",,Prefer a lot,Prefer a moderate amount,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer a moderate amount
100,127,True,< 24,Female,High school graduate or equivalent (GED),< $50k,Employed full-time,Blue collar,Yes,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,,,,Moderately effective,Slightly effective,Effective,Slightly effective,1 - Not effective at all,1 - Not effective at all,Moderately effective,1 - Not effective at all,Slightly effective,Moderately effective,Moderately effective,Effective,1 - Not frequent at all,Moderately frequent,Frequent,Very frequent,Slightly frequent,Moderately frequent,1 - Not frequent at all,"Facebook / Instagram,Twitter",,Prefer a moderate amount,Prefer a lot,Prefer a lot,Do not prefer,Prefer slightly,Prefer a moderate amount
100,115,True,31-40,Male,Bachelor’s degree or equivalent,$151k - $200k,Employed full-time,White collar,Yes,No,No,2 - Slightly familiar,1- Not familiar at all,1- Not familiar at all,Pokemon Go,Augmented Reality,,7 - Most Effective,1 - Not effective at all,Extremely effective,1 - Not effective at all,7 - Most Effective,7 - Most Effective,7 - Most Effective,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,1 - Not effective at all,Extremely effective,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,7 - Most frequent,1 - Not frequent at all,1 - Not frequent at all,1 - Not frequent at all,LinkedIn,,Prefer a great deal,Prefer a lot,Do not prefer,Do not prefer,Do not prefer,Prefer a lot
100,146,True,< 24,Female,High school graduate or equivalent (GED),< $50k,Employed part-time,Neither,No,No,No,3 - Somewhat familiar,1- Not familiar at all,1- Not familiar at all,Smartphone VR,,,Moderately effective,Effective,Effective,Effective,Slightly effective,Moderately effective,Effective,Slightly effective,1 - Not effective at all,Slightly effective,Effective,Effective,1 - Not frequent at all,Slightly frequent,1 - Not frequent at all,Very frequent,Very frequent,Slightly frequent,Slightly frequent,Google Search,,Prefer a moderate amount,Prefer a lot,Prefer slightly,Prefer slightly,Prefer slightly,Prefer slightly
